run_folder,video_number,r_local_cm,r_global_cm,tau_sec,autocorr,min_lag_sec,max_lag_sec,persistence_threshold,source_csv
run_20260603_103710_video01_target10cm,1,10.0,10.0,0.93426667,0.0308392026,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_103710_video01_target10cm\center_autocorr_curve.csv
run_20260603_103710_video01_target10cm,1,10.0,10.0,0.96763333,0.0164631798,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_103710_video01_target10cm\center_autocorr_curve.csv
run_20260603_103710_video01_target10cm,1,10.0,10.0,1.001,0.0107202456,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_103710_video01_target10cm\center_autocorr_curve.csv
run_20260603_103710_video01_target10cm,1,10.0,10.0,1.03436667,0.0041435731,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_103710_video01_target10cm\center_autocorr_curve.csv
run_20260603_103710_video01_target10cm,1,10.0,10.0,1.06773333,0.0046664843,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_103710_video01_target10cm\center_autocorr_curve.csv
run_20260603_103710_video01_target10cm,1,10.0,10.0,1.1011,0.0060183828,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_103710_video01_target10cm\center_autocorr_curve.csv
run_20260603_103710_video01_target10cm,1,10.0,10.0,1.13446667,-0.0039956378,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_103710_video01_target10cm\center_autocorr_curve.csv
run_20260603_103710_video01_target10cm,1,10.0,10.0,1.16783333,0.008667545,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_103710_video01_target10cm\center_autocorr_curve.csv
run_20260603_103710_video01_target10cm,1,10.0,10.0,1.2012,-0.005245658,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_103710_video01_target10cm\center_autocorr_curve.csv
run_20260603_103710_video01_target10cm,1,10.0,10.0,1.23456667,-0.0049269911,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_103710_video01_target10cm\center_autocorr_curve.csv
run_20260603_103710_video01_target10cm,1,10.0,10.0,1.26793333,-0.0113732024,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_103710_video01_target10cm\center_autocorr_curve.csv
run_20260603_103710_video01_target10cm,1,10.0,10.0,1.3013,-0.0409865055,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_103710_video01_target10cm\center_autocorr_curve.csv
run_20260603_103710_video01_target10cm,1,10.0,10.0,1.33466667,-0.0468643642,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_103710_video01_target10cm\center_autocorr_curve.csv
run_20260603_103710_video01_target10cm,1,10.0,10.0,1.36803333,-0.0444962103,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_103710_video01_target10cm\center_autocorr_curve.csv
run_20260603_103710_video01_target10cm,1,10.0,10.0,1.4014,-0.0514106871,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_103710_video01_target10cm\center_autocorr_curve.csv
run_20260603_103710_video01_target10cm,1,10.0,10.0,1.43476667,-0.0632348909,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_103710_video01_target10cm\center_autocorr_curve.csv
run_20260603_103710_video01_target10cm,1,10.0,10.0,1.46813333,-0.082474714,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_103710_video01_target10cm\center_autocorr_curve.csv
run_20260603_103710_video01_target10cm,1,10.0,10.0,1.5015,-0.093301579,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_103710_video01_target10cm\center_autocorr_curve.csv
run_20260603_103710_video01_target10cm,1,10.0,10.0,1.53486667,-0.0938089885,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_103710_video01_target10cm\center_autocorr_curve.csv
run_20260603_103710_video01_target10cm,1,10.0,10.0,1.56823333,-0.1018510325,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_103710_video01_target10cm\center_autocorr_curve.csv
run_20260603_103710_video01_target10cm,1,10.0,10.0,1.6016,-0.0894932946,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_103710_video01_target10cm\center_autocorr_curve.csv
run_20260603_103710_video01_target10cm,1,10.0,10.0,1.63496667,-0.0779074604,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_103710_video01_target10cm\center_autocorr_curve.csv
run_20260603_103710_video01_target10cm,1,10.0,10.0,1.66833333,-0.0531206797,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_103710_video01_target10cm\center_autocorr_curve.csv
run_20260603_103710_video01_target10cm,1,10.0,10.0,1.7017,-0.0534821186,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_103710_video01_target10cm\center_autocorr_curve.csv
run_20260603_103710_video01_target10cm,1,10.0,10.0,1.73506667,-0.0483794261,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_103710_video01_target10cm\center_autocorr_curve.csv
run_20260603_103710_video01_target10cm,1,10.0,10.0,1.76843333,-0.046008958,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_103710_video01_target10cm\center_autocorr_curve.csv
run_20260603_103710_video01_target10cm,1,10.0,10.0,1.8018,-0.0454731978,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_103710_video01_target10cm\center_autocorr_curve.csv
run_20260603_103710_video01_target10cm,1,10.0,10.0,1.83516667,-0.0330905334,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_103710_video01_target10cm\center_autocorr_curve.csv
run_20260603_103710_video01_target10cm,1,10.0,10.0,1.86853333,-0.0368956362,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_103710_video01_target10cm\center_autocorr_curve.csv
run_20260603_103710_video01_target10cm,1,10.0,10.0,1.9019,-0.0323129989,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_103710_video01_target10cm\center_autocorr_curve.csv
run_20260603_103710_video01_target10cm,1,10.0,10.0,1.93526667,-0.0280394658,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_103710_video01_target10cm\center_autocorr_curve.csv
run_20260603_103710_video01_target10cm,1,10.0,10.0,1.96863333,-0.0130486406,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_103710_video01_target10cm\center_autocorr_curve.csv
run_20260603_103710_video01_target10cm,1,10.0,10.0,2.002,-0.0044672575,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_103710_video01_target10cm\center_autocorr_curve.csv
run_20260603_103837_video02_target30cm,2,30.0,30.0,0.0,1.0,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_103837_video02_target30cm\center_autocorr_curve.csv
run_20260603_103837_video02_target30cm,2,30.0,30.0,0.03336667,0.8164015048,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_103837_video02_target30cm\center_autocorr_curve.csv
run_20260603_103837_video02_target30cm,2,30.0,30.0,0.06673333,0.7408553591,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_103837_video02_target30cm\center_autocorr_curve.csv
run_20260603_103837_video02_target30cm,2,30.0,30.0,0.1001,0.677129005,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_103837_video02_target30cm\center_autocorr_curve.csv
run_20260603_103837_video02_target30cm,2,30.0,30.0,0.13346667,0.5952477521,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_103837_video02_target30cm\center_autocorr_curve.csv
run_20260603_103837_video02_target30cm,2,30.0,30.0,0.16683333,0.5505898242,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_103837_video02_target30cm\center_autocorr_curve.csv
run_20260603_103837_video02_target30cm,2,30.0,30.0,0.2002,0.4883910948,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_103837_video02_target30cm\center_autocorr_curve.csv
run_20260603_103837_video02_target30cm,2,30.0,30.0,0.23356667,0.4475900914,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_103837_video02_target30cm\center_autocorr_curve.csv
run_20260603_103837_video02_target30cm,2,30.0,30.0,0.26693333,0.4318254865,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_103837_video02_target30cm\center_autocorr_curve.csv
run_20260603_103837_video02_target30cm,2,30.0,30.0,0.3003,0.4108853203,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_103837_video02_target30cm\center_autocorr_curve.csv
run_20260603_103837_video02_target30cm,2,30.0,30.0,0.33366667,0.3864732511,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_103837_video02_target30cm\center_autocorr_curve.csv
run_20260603_103837_video02_target30cm,2,30.0,30.0,0.36703333,0.3717578187,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_103837_video02_target30cm\center_autocorr_curve.csv
run_20260603_103837_video02_target30cm,2,30.0,30.0,0.4004,0.3503572379,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_103837_video02_target30cm\center_autocorr_curve.csv
run_20260603_103837_video02_target30cm,2,30.0,30.0,0.43376667,0.3447633703,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_103837_video02_target30cm\center_autocorr_curve.csv
run_20260603_103837_video02_target30cm,2,30.0,30.0,0.46713333,0.3254461041,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_103837_video02_target30cm\center_autocorr_curve.csv
run_20260603_103837_video02_target30cm,2,30.0,30.0,0.5005,0.3110240151,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_103837_video02_target30cm\center_autocorr_curve.csv
run_20260603_103837_video02_target30cm,2,30.0,30.0,0.53386667,0.2923628676,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_103837_video02_target30cm\center_autocorr_curve.csv
run_20260603_103837_video02_target30cm,2,30.0,30.0,0.56723333,0.2779776216,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_103837_video02_target30cm\center_autocorr_curve.csv
run_20260603_103837_video02_target30cm,2,30.0,30.0,0.6006,0.2672380609,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_103837_video02_target30cm\center_autocorr_curve.csv
run_20260603_103837_video02_target30cm,2,30.0,30.0,0.63396667,0.2671078488,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_103837_video02_target30cm\center_autocorr_curve.csv
run_20260603_103837_video02_target30cm,2,30.0,30.0,0.66733333,0.2624839961,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_103837_video02_target30cm\center_autocorr_curve.csv
run_20260603_103837_video02_target30cm,2,30.0,30.0,0.7007,0.2597019493,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_103837_video02_target30cm\center_autocorr_curve.csv
run_20260603_103837_video02_target30cm,2,30.0,30.0,0.73406667,0.2640001612,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_103837_video02_target30cm\center_autocorr_curve.csv
run_20260603_103837_video02_target30cm,2,30.0,30.0,0.76743333,0.2325155574,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_103837_video02_target30cm\center_autocorr_curve.csv
run_20260603_103837_video02_target30cm,2,30.0,30.0,0.8008,0.2190525307,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_103837_video02_target30cm\center_autocorr_curve.csv
run_20260603_103837_video02_target30cm,2,30.0,30.0,0.83416667,0.2086245094,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_103837_video02_target30cm\center_autocorr_curve.csv
run_20260603_103837_video02_target30cm,2,30.0,30.0,0.86753333,0.1734827705,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_103837_video02_target30cm\center_autocorr_curve.csv
run_20260603_103837_video02_target30cm,2,30.0,30.0,0.9009,0.1667779115,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_103837_video02_target30cm\center_autocorr_curve.csv
run_20260603_103837_video02_target30cm,2,30.0,30.0,0.93426667,0.148418922,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_103837_video02_target30cm\center_autocorr_curve.csv
run_20260603_103837_video02_target30cm,2,30.0,30.0,0.96763333,0.1532348607,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_103837_video02_target30cm\center_autocorr_curve.csv
run_20260603_103837_video02_target30cm,2,30.0,30.0,1.001,0.1317956632,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_103837_video02_target30cm\center_autocorr_curve.csv
run_20260603_103837_video02_target30cm,2,30.0,30.0,1.03436667,0.1088440965,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_103837_video02_target30cm\center_autocorr_curve.csv
run_20260603_103837_video02_target30cm,2,30.0,30.0,1.06773333,0.1086758025,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_103837_video02_target30cm\center_autocorr_curve.csv
run_20260603_103837_video02_target30cm,2,30.0,30.0,1.1011,0.0865390642,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_103837_video02_target30cm\center_autocorr_curve.csv
run_20260603_103837_video02_target30cm,2,30.0,30.0,1.13446667,0.0658515816,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_103837_video02_target30cm\center_autocorr_curve.csv
run_20260603_103837_video02_target30cm,2,30.0,30.0,1.16783333,0.0425508546,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_103837_video02_target30cm\center_autocorr_curve.csv
run_20260603_103837_video02_target30cm,2,30.0,30.0,1.2012,0.0283566429,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_103837_video02_target30cm\center_autocorr_curve.csv
run_20260603_103837_video02_target30cm,2,30.0,30.0,1.23456667,0.0216645206,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_103837_video02_target30cm\center_autocorr_curve.csv
run_20260603_103837_video02_target30cm,2,30.0,30.0,1.26793333,0.0025788135,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_103837_video02_target30cm\center_autocorr_curve.csv
run_20260603_103837_video02_target30cm,2,30.0,30.0,1.3013,-0.0029150007,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_103837_video02_target30cm\center_autocorr_curve.csv
run_20260603_103837_video02_target30cm,2,30.0,30.0,1.33466667,0.0076064432,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_103837_video02_target30cm\center_autocorr_curve.csv
run_20260603_103837_video02_target30cm,2,30.0,30.0,1.36803333,-0.0126753074,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_103837_video02_target30cm\center_autocorr_curve.csv
run_20260603_103837_video02_target30cm,2,30.0,30.0,1.4014,0.0161406877,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_103837_video02_target30cm\center_autocorr_curve.csv
run_20260603_103837_video02_target30cm,2,30.0,30.0,1.43476667,0.0098612262,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_103837_video02_target30cm\center_autocorr_curve.csv
run_20260603_103837_video02_target30cm,2,30.0,30.0,1.46813333,0.0001284564,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_103837_video02_target30cm\center_autocorr_curve.csv
run_20260603_103837_video02_target30cm,2,30.0,30.0,1.5015,0.0140797002,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_103837_video02_target30cm\center_autocorr_curve.csv
run_20260603_103837_video02_target30cm,2,30.0,30.0,1.53486667,-0.0112963487,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_103837_video02_target30cm\center_autocorr_curve.csv
run_20260603_103837_video02_target30cm,2,30.0,30.0,1.56823333,-0.025426522,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_103837_video02_target30cm\center_autocorr_curve.csv
run_20260603_103837_video02_target30cm,2,30.0,30.0,1.6016,-0.0364597951,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_103837_video02_target30cm\center_autocorr_curve.csv
run_20260603_103837_video02_target30cm,2,30.0,30.0,1.63496667,-0.0448408795,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_103837_video02_target30cm\center_autocorr_curve.csv
run_20260603_103837_video02_target30cm,2,30.0,30.0,1.66833333,-0.0589399504,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_103837_video02_target30cm\center_autocorr_curve.csv
