run_folder,video_number,frame_width_cm,segment_start_cm,idx,r_local_cm,r_global_cm,x_center_px,y_center_px,valid,S_peak,S_pos_area,S_signed_area,persistence_duration_sec,last_positive_lag_sec,first_positive_lag_sec,mean_delayed_ac,mean_positive_ac,persistence_threshold,min_lag_sec,max_lag_sec,source_csv
run_20260603_103710_video01_target10cm,1,nan,nan,0,10.0,10.0,1920.0,1080.0,1,0.74172425,0.2831141,0.24288424,0.66733333,0.73406667,0.1001,0.12550427,0.14629203,0.1,0.1001,2.002,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_103710_video01_target10cm\radial_profile_spatial_extension.csv
run_20260603_103837_video02_target30cm,2,nan,nan,0,30.0,30.0,1920.0,1080.0,1,0.677129,0.31795542,0.28494335,1.001,1.06773333,0.1001,0.14723725,0.16429541,0.1,0.1001,2.002,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_103837_video02_target30cm\radial_profile_spatial_extension.csv
run_20260603_104003_video03_target60cm,3,nan,nan,0,60.0,60.0,1920.0,1080.0,1,0.65971301,0.29886795,0.29886795,0.9009,1.73506667,0.1001,0.15443244,0.15443244,0.1,0.1001,2.002,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_104003_video03_target60cm\radial_profile_spatial_extension.csv
run_20260603_104126_video04_target90cm,4,nan,nan,0,90.0,90.0,1920.0,1080.0,1,0.66234574,0.2785841,0.2122373,0.8008,0.86753333,0.1001,0.10966825,0.14395127,0.1,0.1001,2.002,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_104126_video04_target90cm\radial_profile_spatial_extension.csv
