video_number,r_local_cm,r_global_cm,tau_sec,autocorr,min_lag_sec,max_lag_sec,persistence_threshold
1,10.00000000,10.00000000,0.00000000,1.0000000000,0.10010000,2.00200000,0.10000000
1,10.00000000,10.00000000,0.03336667,0.7122231506,0.10010000,2.00200000,0.10000000
1,10.00000000,10.00000000,0.06673333,0.5886076777,0.10010000,2.00200000,0.10000000
1,10.00000000,10.00000000,0.10010000,0.4936016925,0.10010000,2.00200000,0.10000000
1,10.00000000,10.00000000,0.13346667,0.3944566071,0.10010000,2.00200000,0.10000000
1,10.00000000,10.00000000,0.16683333,0.3155619833,0.10010000,2.00200000,0.10000000
1,10.00000000,10.00000000,0.20020000,0.2986374717,0.10010000,2.00200000,0.10000000
1,10.00000000,10.00000000,0.23356667,0.2773363989,0.10010000,2.00200000,0.10000000
1,10.00000000,10.00000000,0.26693333,0.2241812336,0.10010000,2.00200000,0.10000000
1,10.00000000,10.00000000,0.30030000,0.1854214819,0.10010000,2.00200000,0.10000000
1,10.00000000,10.00000000,0.33366667,0.1188055901,0.10010000,2.00200000,0.10000000
1,10.00000000,10.00000000,0.36703333,0.0883673853,0.10010000,2.00200000,0.10000000
1,10.00000000,10.00000000,0.40040000,0.0488145996,0.10010000,2.00200000,0.10000000
1,10.00000000,10.00000000,0.43376667,0.0322069591,0.10010000,2.00200000,0.10000000
1,10.00000000,10.00000000,0.46713333,0.0013740638,0.10010000,2.00200000,0.10000000
1,10.00000000,10.00000000,0.50050000,0.0298092625,0.10010000,2.00200000,0.10000000
1,10.00000000,10.00000000,0.53386667,0.0518779209,0.10010000,2.00200000,0.10000000
1,10.00000000,10.00000000,0.56723333,0.0398943259,0.10010000,2.00200000,0.10000000
1,10.00000000,10.00000000,0.60060000,0.0342316947,0.10010000,2.00200000,0.10000000
1,10.00000000,10.00000000,0.63396667,0.0261654572,0.10010000,2.00200000,0.10000000
1,10.00000000,10.00000000,0.66733333,0.0027345477,0.10010000,2.00200000,0.10000000
1,10.00000000,10.00000000,0.70070000,-0.0000723185,0.10010000,2.00200000,0.10000000
1,10.00000000,10.00000000,0.73406667,0.0494038243,0.10010000,2.00200000,0.10000000
1,10.00000000,10.00000000,0.76743333,0.0653652900,0.10010000,2.00200000,0.10000000
1,10.00000000,10.00000000,0.80080000,0.0783276462,0.10010000,2.00200000,0.10000000
1,10.00000000,10.00000000,0.83416667,0.0760003903,0.10010000,2.00200000,0.10000000
1,10.00000000,10.00000000,0.86753333,0.0777810678,0.10010000,2.00200000,0.10000000
1,10.00000000,10.00000000,0.90090000,0.0421827624,0.10010000,2.00200000,0.10000000
1,10.00000000,10.00000000,0.93426667,0.0191625082,0.10010000,2.00200000,0.10000000
1,10.00000000,10.00000000,0.96763333,0.0226435069,0.10010000,2.00200000,0.10000000
1,10.00000000,10.00000000,1.00100000,0.0106426187,0.10010000,2.00200000,0.10000000
1,10.00000000,10.00000000,1.03436667,0.0124138485,0.10010000,2.00200000,0.10000000
1,10.00000000,10.00000000,1.06773333,-0.0005790520,0.10010000,2.00200000,0.10000000
1,10.00000000,10.00000000,1.10110000,0.0117238644,0.10010000,2.00200000,0.10000000
1,10.00000000,10.00000000,1.13446667,0.0336413709,0.10010000,2.00200000,0.10000000
1,10.00000000,10.00000000,1.16783333,0.0230065870,0.10010000,2.00200000,0.10000000
1,10.00000000,10.00000000,1.20120000,-0.0117439078,0.10010000,2.00200000,0.10000000
1,10.00000000,10.00000000,1.23456667,-0.0301999334,0.10010000,2.00200000,0.10000000
1,10.00000000,10.00000000,1.26793333,-0.0650446940,0.10010000,2.00200000,0.10000000
1,10.00000000,10.00000000,1.30130000,-0.0528244597,0.10010000,2.00200000,0.10000000
1,10.00000000,10.00000000,1.33466667,-0.0466856661,0.10010000,2.00200000,0.10000000
1,10.00000000,10.00000000,1.36803333,-0.0265403496,0.10010000,2.00200000,0.10000000
1,10.00000000,10.00000000,1.40140000,-0.0142254353,0.10010000,2.00200000,0.10000000
1,10.00000000,10.00000000,1.43476667,-0.0220598974,0.10010000,2.00200000,0.10000000
1,10.00000000,10.00000000,1.46813333,0.0073639196,0.10010000,2.00200000,0.10000000
1,10.00000000,10.00000000,1.50150000,0.0149799888,0.10010000,2.00200000,0.10000000
1,10.00000000,10.00000000,1.53486667,-0.0025881240,0.10010000,2.00200000,0.10000000
1,10.00000000,10.00000000,1.56823333,-0.0196690332,0.10010000,2.00200000,0.10000000
1,10.00000000,10.00000000,1.60160000,-0.0214924891,0.10010000,2.00200000,0.10000000
1,10.00000000,10.00000000,1.63496667,-0.0010738971,0.10010000,2.00200000,0.10000000
1,10.00000000,10.00000000,1.66833333,-0.0553904928,0.10010000,2.00200000,0.10000000
1,10.00000000,10.00000000,1.70170000,-0.0678347286,0.10010000,2.00200000,0.10000000
1,10.00000000,10.00000000,1.73506667,-0.0625425829,0.10010000,2.00200000,0.10000000
1,10.00000000,10.00000000,1.76843333,-0.0960317309,0.10010000,2.00200000,0.10000000
1,10.00000000,10.00000000,1.80180000,-0.1462145887,0.10010000,2.00200000,0.10000000
1,10.00000000,10.00000000,1.83516667,-0.1310952103,0.10010000,2.00200000,0.10000000
1,10.00000000,10.00000000,1.86853333,-0.1543976528,0.10010000,2.00200000,0.10000000
1,10.00000000,10.00000000,1.90190000,-0.1511615745,0.10010000,2.00200000,0.10000000
1,10.00000000,10.00000000,1.93526667,-0.1259566493,0.10010000,2.00200000,0.10000000
1,10.00000000,10.00000000,1.96863333,-0.1276861848,0.10010000,2.00200000,0.10000000
1,10.00000000,10.00000000,2.00200000,-0.1113503284,0.10010000,2.00200000,0.10000000
