idx,r_cm,x_center_px,y_center_px,valid,alpha_control,S_peak
0,0.900000,2259.996411,1181.852295,1,0.20662846,0.51432519
1,1.300000,2176.095076,1181.852295,1,0.15409823,0.58635986
2,1.700000,2092.193742,1181.852295,1,0.18402500,0.59593930
3,2.100000,2008.292407,1181.852295,1,0.13341517,0.64330695
4,2.500000,1924.391073,1181.852295,1,0.23587971,0.75566287
5,2.900000,1840.489738,1181.852295,1,0.23684669,0.55991073
6,3.300000,1756.588403,1181.852295,1,0.05385054,0.53891862
7,3.700000,1672.687069,1181.852295,1,0.28991423,0.67703016
8,4.100000,1588.785734,1181.852295,1,0.25220695,0.67265005
9,4.500000,1504.884399,1181.852295,1,0.29425041,0.76548264
10,4.900000,1420.983065,1181.852295,1,0.20425691,0.83444254
11,5.300000,1337.081730,1181.852295,1,0.18495865,0.81796209
12,5.700000,1253.180396,1181.852295,1,0.29054348,0.84456015
13,6.100000,1169.279061,1181.852295,1,0.25222390,0.85390039
14,6.500000,1085.377726,1181.852295,1,0.25116108,0.85194964
