t0,t1,x,y,rx_from_center,ry_from_center,r_from_center_px,theta_deg,dx,dy,speed_px,radial_component,radiality,radial_aligned,direction_label,sector,corr
15,30,410,50,175.0,-82.0,193.25889371514057,-25.10644604586584,-6,0,6.0,-5.433126413047139,0.9055210688411899,True,inward,right_upper,0.6083106994628906
165,180,330,140,95.0,8.0,95.33624704172071,4.813550893706532,-8,5,9.433981132056603,-7.552216731217835,0.8005333724439467,True,inward,right_middle,0.6813403964042664
165,180,380,140,145.0,8.0,145.2205219657332,3.157944796439268,-3,1,3.1622776601683795,-2.940355772173554,0.9298221371291574,True,inward,right_middle,0.7082539796829224
165,180,340,150,105.0,18.0,106.53168542738823,9.727578551401603,-5,3,5.830951894845301,-4.421219828733796,0.7582329452318513,True,inward,right_middle,0.7451190948486328
195,210,400,230,165.0,98.0,191.9088325221119,30.707744922578435,3,4,5.0,4.621986327272348,0.9243972654544695,True,outward,right_lower,0.6084645390510559
210,225,380,190,145.0,58.0,156.16977940690063,21.80140948635181,-3,1,3.1622776601683795,-2.414039396301674,0.7633862853691145,True,inward,right_lower,0.7224350571632385
255,270,400,40,165.0,-92.0,188.91532494744834,-29.14297798197175,-8,7,10.63014581273465,-10.396192053483947,0.9779914816436072,True,inward,right_upper,0.5961730480194092
255,270,130,110,-105.0,-22.0,107.28000745712129,-168.16635469383934,-6,-6,8.48528137423857,7.102907783675943,0.8370857099966618,True,outward,left_middle,0.6499196887016296
255,270,430,110,195.0,-22.0,196.23710148695125,-6.436920600855314,-6,-4,7.211102550927978,-5.513738186109253,0.7646179134423354,True,inward,right_middle,0.7599993944168091
255,270,330,130,95.0,-2.0,95.02105029939419,-1.2060487792199577,-8,7,10.63014581273465,-8.145563509993476,0.7662701578594805,True,inward,right_middle,0.6007310748100281
255,270,390,130,155.0,-2.0,155.0129026887762,-0.7392593554078475,8,1,8.06225774829855,7.9864319584129575,0.9905949682765236,True,outward,right_middle,0.5942406058311462
255,270,320,160,85.0,28.0,89.49301648732151,18.232491080703817,5,0,5.0,4.748973905245554,0.9497947810491109,True,outward,right_middle,0.6264466643333435
255,270,390,160,155.0,28.0,157.50872991678906,10.239774629040122,-8,-8,11.313708498984761,-9.294722906936158,0.821545199593062,True,inward,right_middle,0.6493209004402161
270,285,410,20,175.0,-112.0,207.77150911518163,-32.61924307119283,-3,0,3.0,-2.526814201984534,0.8422714006615113,True,inward,right_upper,0.685196042060852
270,285,410,30,175.0,-102.0,202.5561650505854,-30.23607619085648,-3,0,3.0,-2.591873714971297,0.8639579049904323,True,inward,right_upper,0.5585524439811707
270,285,330,50,95.0,-82.0,125.49501982150527,-40.799377795364606,8,-4,8.94427190999916,8.669666744923344,0.9692982091958963,True,outward,right_upper,0.7701276540756226
270,285,300,100,65.0,-32.0,72.44998274671983,-26.21137801783153,7,0,7.0,6.280194732283772,0.8971706760405389,True,outward,right_middle,0.6813990473747253
270,285,440,110,205.0,-22.0,206.17710833164773,-6.125371940199724,-7,1,7.0710678118654755,-7.06673991011811,0.9993879422652258,True,inward,right_middle,0.5662432312965393
270,285,200,130,-35.0,-2.0,35.05709628591621,-176.72951207681643,-8,-3,8.54400374531753,8.158120047007351,0.9548357292654911,True,outward,left_middle,0.7045060992240906
270,285,310,140,75.0,8.0,75.4254598925323,6.088528154195175,-8,-1,8.06225774829855,-8.060938585807637,0.9998363780305597,True,inward,right_middle,0.584115207195282
270,285,320,140,85.0,8.0,85.37564055396598,5.376705428050741,-4,2,4.47213595499958,-3.7949934887481103,0.8485863415009858,True,inward,right_middle,0.6575521230697632
270,285,300,150,65.0,18.0,67.446274915669,15.478638165418356,-5,-5,7.0710678118654755,-6.153045524291631,0.8701720430352295,True,inward,right_middle,0.8595487475395203
270,285,310,150,75.0,18.0,77.12976079309465,13.495733280795811,-6,-4,7.211102550927978,-6.767815621784401,0.9385271633549946,True,inward,right_middle,0.7649745345115662
270,285,320,150,85.0,18.0,86.88498144098322,11.956584243149132,-3,1,3.1622776601683795,-2.727744151743678,0.8625884393713978,True,inward,right_middle,0.7271942496299744
270,285,350,150,115.0,18.0,116.40017182117903,8.895856969663305,-8,4,8.94427190999916,-7.285212613798791,0.8145115317496509,True,inward,right_middle,0.586880087852478
270,285,310,160,75.0,28.0,80.05623023850174,20.472279519741925,-1,0,1.0,-0.9368415147273569,0.9368415147273569,True,inward,right_middle,0.8149415850639343
270,285,330,160,95.0,28.0,99.04039579888602,16.422187498315292,-7,-8,10.63014581273465,-8.976135372128624,0.8444037861997563,True,inward,right_middle,0.6751402020454407
270,285,180,190,-55.0,58.0,79.93122043357026,133.47923033885624,-8,3,8.54400374531753,7.6816042175946375,0.8990637699339115,True,outward,left_lower,0.7276599407196045
270,285,370,190,135.0,58.0,146.93195704134618,23.249793162674628,5,-1,5.0990195135927845,4.199222636273593,0.8235353140107534,True,outward,right_lower,0.5899477005004883
270,285,180,200,-55.0,68.0,87.45856161634491,128.9667469937993,-8,3,8.54400374531753,7.363487211521261,0.861830990600485,True,outward,left_lower,0.6988919377326965
270,285,280,220,45.0,88.0,98.8382517044894,62.91644913563134,1,8,8.06225774829855,7.578037724092799,0.9399398978148598,True,outward,right_lower,0.684258759021759
270,285,290,220,55.0,88.0,103.77379245262264,57.9946167919165,0,3,3.0,2.543994912015264,0.8479983040050879,True,outward,right_lower,0.7551555633544922
285,300,310,180,75.0,48.0,89.04493247793498,32.61924307119283,-4,-7,8.06225774829855,-7.142461477609617,0.8859133136889545,True,inward,right_lower,0.7962161302566528
285,300,340,200,105.0,68.0,125.0959631642844,32.927862653164134,2,1,2.23606797749979,2.2222939331376486,0.9938400600962309,True,outward,right_lower,0.7228388786315918
285,300,370,230,135.0,98.0,166.82026255823962,35.97687028710933,8,8,11.313708498984761,11.173702591130066,0.9876251091437208,True,outward,right_lower,0.640582799911499
300,315,430,20,195.0,-112.0,224.87552112224222,-29.871292078071868,5,0,5.0,4.335732031366769,0.8671464062733538,True,outward,right_upper,0.5644267201423645
300,315,350,100,115.0,-32.0,119.36917525056458,-15.54980416970159,-2,0,2.0,-1.9267955861905997,0.9633977930952998,True,inward,right_middle,0.7652892470359802
