sector,n_vectors,mean_corr,mean_speed_px,mean_radial_component,median_radial_component,mean_radiality,inward_count,outward_count,radial_aligned_count,tangential_count,neutral_count,undefined_count,inward_fraction,outward_fraction,inward_minus_outward
left_upper,1,0.5991169810295105,4.47213595499958,-3.869565834621225,-3.869565834621225,0.8652612249623768,1,0,1,0,0,0,1.0,0.0,1.0
left_middle,3,0.6843792200088501,8.033450977140525,3.035072987867706,7.102907783675943,0.887494759327429,1,2,3,0,0,0,0.3333333333333333,0.6666666666666666,-0.3333333333333333
left_lower,2,0.7132759392261505,8.54400374531753,7.52254571455795,7.52254571455795,0.8804473802671982,0,2,2,0,0,0,0.0,1.0,-1.0
right_upper,10,0.6435686230659485,5.321272825103392,-2.4216155981325134,-3.084166718149058,0.9362262800271779,8,2,10,0,0,0,0.8,0.2,0.6
right_middle,32,0.6724862139672041,6.346604463347532,-3.4157090060470567,-5.10207248530045,0.8947410718141864,26,6,32,0,0,0,0.8125,0.1875,0.625
right_lower,30,0.674760373433431,4.8594525759073575,1.7003547591182067,2.561672333121393,0.8897232576909831,12,18,30,0,0,0,0.4,0.6,-0.2
