t0,t1,x,y,rx_from_center,ry_from_center,r_from_center_px,theta_deg,dx,dy,speed_px,radial_component,radiality,radial_aligned,direction_label,sector,corr
75,90,240,120,5.0,-12.0,13.0,-67.38013505195957,7,-8,10.63014581273465,10.076923076923077,0.9479571827557788,True,outward,right_middle,0.6171492338180542
75,90,250,120,15.0,-12.0,19.209372712298546,-38.65980825409009,7,-8,10.63014581273465,10.463642046536606,0.9843366432473036,True,outward,right_middle,0.6537129282951355
75,90,370,120,135.0,-12.0,135.5322839769182,-5.07960786001457,-1,0,1.0,-0.9960726406926866,0.9960726406926866,True,inward,right_middle,0.745598316192627
75,90,270,150,35.0,18.0,39.35733730830886,27.216111557307478,-1,-2,2.23606797749979,-1.8039838275596698,0.806766093746736,True,inward,right_middle,0.6719826459884644
75,90,280,190,45.0,58.0,73.40980860893181,52.193470055295535,0,-8,8.0,-6.320681238549706,0.7900851548187132,True,inward,right_lower,0.6471368670463562
90,105,280,170,45.0,38.0,58.89821729050889,40.17923392190735,-3,-2,3.605551275463989,-3.582451383193247,0.9935932426123188,True,inward,right_middle,0.6821228861808777
105,120,350,60,115.0,-72.0,135.67977004697494,-32.050145526721174,-3,5,5.830951894845301,-5.196058334679632,0.8911166527154976,True,inward,right_upper,0.7104057669639587
105,120,380,60,145.0,-72.0,161.8919392681427,-26.406775945663863,-4,4,5.656854249492381,-5.361601102092711,0.9478061243267555,True,inward,right_upper,0.6889862418174744
105,120,260,110,25.0,-22.0,33.301651610693426,-41.34777721969367,8,-8,11.313708498984761,11.29073129451824,0.9979690828636266,True,outward,right_middle,0.8220651149749756
105,120,270,110,35.0,-22.0,41.340053217188775,-32.15229514128234,-7,-1,7.0710678118654755,-5.394284299258688,0.7628670015307883,True,inward,right_middle,0.7927737236022949
105,120,280,120,45.0,-12.0,46.57252408878007,-14.931417178137554,-6,8,10.0,-7.858710842090137,0.7858710842090136,True,inward,right_middle,0.7227075099945068
105,120,350,140,115.0,8.0,115.27792503337315,3.9793824526782045,-5,-1,5.0990195135927845,-5.057342937350933,0.9918265509416563,True,inward,right_middle,0.6311114430427551
105,120,280,170,45.0,38.0,58.89821729050889,40.17923392190735,-4,-1,4.123105625617661,-3.701300481213876,0.8976972256584874,True,inward,right_middle,0.6373338103294373
105,120,250,210,15.0,78.0,79.42921376924235,79.11447294534128,3,4,5.0,4.494567968872963,0.8989135937745927,True,outward,right_lower,0.6291669011116028
120,135,250,50,15.0,-82.0,83.3606621854697,-79.63367739654952,1,6,6.082762530298219,-5.722123451211549,0.9407113006154147,True,inward,right_upper,0.6267174482345581
120,135,230,60,-5.0,-72.0,72.17340230306452,-93.97249594075066,5,-8,9.433981132056603,7.634391374349886,0.8092438671949721,True,outward,left_upper,0.6485493183135986
120,135,320,70,85.0,-62.0,105.20931517693668,-36.10745129175187,-2,1,2.23606797749979,-2.20512793577101,0.9861631926935537,True,inward,right_upper,0.5576971173286438
120,135,310,90,75.0,-42.0,85.95929269136641,-29.248826336546973,-4,3,5.0,-4.95583417059441,0.991166834118882,True,inward,right_middle,0.5662686824798584
150,165,220,40,-15.0,-92.0,93.2148056909416,-99.26022153117148,-1,-7,7.0710678118654755,7.069692363946429,0.9998054822898547,True,outward,left_upper,0.7312249541282654
150,165,220,190,-15.0,58.0,59.90826320300064,104.50016676655257,3,-6,6.708203932499369,-6.56002993557516,0.9779115246919748,True,inward,left_lower,0.6007327437400818
165,180,250,140,15.0,8.0,17.0,28.072486935852957,6,7,9.219544457292887,8.588235294117647,0.9315249071036412,True,outward,right_middle,0.7052944898605347
165,180,250,220,15.0,88.0,89.26925562588724,80.32664456759652,0,-2,2.0,-1.9715634320687856,0.9857817160343928,True,inward,right_lower,0.6930093765258789
180,195,320,60,85.0,-72.0,111.39569111954016,-40.26656166942452,3,-4,5.0,4.874515293570015,0.9749030587140031,True,outward,right_upper,0.6451553702354431
180,195,330,60,95.0,-72.0,119.20151005754919,-37.15829678489694,7,-8,10.63014581273465,10.410941936900453,0.9793790339572205,True,outward,right_upper,0.6413303017616272
180,195,380,80,145.0,-52.0,154.042202009709,-19.728883988274927,1,0,1.0,0.9413004884912053,0.9413004884912053,True,outward,right_upper,0.748464822769165
180,195,310,90,75.0,-42.0,85.95929269136641,-29.248826336546973,-2,5,5.385164807134504,-4.188028876558656,0.7776974385278183,True,inward,right_middle,0.5953471064567566
180,195,360,110,125.0,-22.0,126.92123541787639,-9.981829287733165,-5,4,6.4031242374328485,-5.617657263203543,0.8773306677953485,True,inward,right_middle,0.5995511412620544
180,195,280,120,45.0,-12.0,46.57252408878007,-14.931417178137554,-2,3,3.605551275463989,-2.7054578308834896,0.7503589948350773,True,inward,right_middle,0.7032549977302551
180,195,260,130,25.0,-2.0,25.079872407968907,-4.573921259900861,5,0,5.0,4.984076392680625,0.996815278536125,True,outward,right_middle,0.6345045566558838
180,195,280,130,45.0,-2.0,45.044422518220834,-2.5448043798130953,-3,1,3.1622776601683795,-3.0414420330193463,0.9617884195714177,True,inward,right_middle,0.7606948018074036
180,195,280,140,45.0,8.0,45.70557952810576,10.08059798754232,-3,-3,4.242640687119285,-3.4787875275102036,0.8199580836698828,True,inward,right_middle,0.6713870167732239
180,195,330,140,95.0,8.0,95.33624704172071,4.813550893706532,-1,0,1.0,-0.9964730409245754,0.9964730409245754,True,inward,right_middle,0.6066352725028992
180,195,210,150,-25.0,18.0,30.805843601498726,144.24611274556327,4,-6,7.211102550927978,-6.751965720876433,0.9363291775690445,True,inward,left_middle,0.6569960713386536
180,195,220,150,-15.0,18.0,23.430749027719962,129.8055710922652,1,-5,5.0990195135927845,-4.48129079765136,0.8788534316656946,True,inward,left_middle,0.6853164434432983
180,195,240,150,5.0,18.0,18.681541692269406,74.47588900324574,3,3,4.242640687119285,3.6934853202481057,0.8705628387201343,True,outward,right_middle,0.6717231273651123
180,195,300,180,65.0,48.0,80.80222769206304,36.44444175658711,-1,0,1.0,-0.8044332669603459,0.8044332669603459,True,inward,right_lower,0.6461948156356812
180,195,270,190,35.0,58.0,67.7421582177598,58.891191171454864,0,-1,1.0,-0.8561876610656063,0.8561876610656063,True,inward,right_lower,0.6453403234481812
180,195,330,190,95.0,58.0,111.30588483993108,31.40516366592503,4,0,4.0,3.414015355490662,0.8535038388726655,True,outward,right_lower,0.6215642690658569
180,195,270,200,35.0,68.0,76.47875521999558,62.76485330069748,0,-1,1.0,-0.889135810388049,0.889135810388049,True,inward,right_lower,0.6906562447547913
180,195,250,230,15.0,98.0,99.14131328563285,81.29777621005321,-2,-3,3.605551275463989,-3.268062417798865,0.9063974322146636,True,inward,right_lower,0.681399405002594
180,195,260,230,25.0,98.0,101.13851887386922,75.68895873739359,-2,-3,3.605551275463989,-3.4012758326924444,0.9433441859053143,True,inward,right_lower,0.7112789154052734
195,210,260,70,25.0,-62.0,66.85057965343307,-68.03943597990354,-2,-8,8.246211251235321,6.671595105265418,0.8090497444224438,True,outward,right_upper,0.6529902219772339
195,210,270,80,35.0,-52.0,62.68173577685928,-56.05641298024819,0,2,2.0,-1.6591754952388302,0.8295877476194151,True,inward,right_upper,0.6521181464195251
195,210,300,90,65.0,-42.0,77.38862965578342,-32.868678933367505,-5,2,5.385164807134504,-5.285014114078379,0.9814024831842768,True,inward,right_middle,0.8064387440681458
195,210,310,90,75.0,-42.0,85.95929269136641,-29.248826336546973,-8,5,9.433981132056603,-9.423064972256977,0.9988428893754586,True,inward,right_middle,0.6005685329437256
195,210,320,100,85.0,-32.0,90.82400563727631,-20.62987994612618,-8,-2,8.246211251235321,-6.782347857020513,0.8224804883581518,True,inward,right_middle,0.7251356244087219
195,210,240,110,5.0,-22.0,22.561028345356956,-77.19573393471325,2,-8,8.246211251235321,8.244305053509613,0.9997688395715764,True,outward,right_middle,0.7099058032035828
195,210,280,110,45.0,-22.0,50.08991914547278,-26.05349531049095,8,-8,11.313708498984761,10.700755943393148,0.9458221364244432,True,outward,right_middle,0.6542847156524658
195,210,320,110,85.0,-22.0,87.80091115700337,-14.511059500169067,-2,-1,2.23606797749979,-1.6856317098503697,0.7538374176509257,True,inward,right_middle,0.7869397401809692
195,210,330,110,95.0,-22.0,97.51410154434076,-13.03865658302297,-2,1,2.23606797749979,-2.174044539636159,0.9722622753477376,True,inward,right_middle,0.5989243388175964
195,210,350,110,115.0,-22.0,117.08543888972702,-10.830079543407003,4,-1,4.123105625617661,4.116651947249867,0.9984347530832838,True,outward,right_middle,0.5922704935073853
195,210,250,140,15.0,8.0,17.0,28.072486935852957,-1,-1,1.4142135623730951,-1.3529411764705883,0.9566738804288584,True,inward,right_middle,0.7064255475997925
195,210,280,140,45.0,8.0,45.70557952810576,10.08059798754232,-3,-2,3.605551275463989,-3.303754192792709,0.9162965495110196,True,inward,right_middle,0.680335283279419
195,210,310,150,75.0,18.0,77.12976079309465,13.495733280795811,1,0,1.0,0.9723873019805175,0.9723873019805175,True,outward,right_middle,0.5598323345184326
195,210,260,160,25.0,28.0,37.53664875824692,48.239700296102136,-1,-2,2.23606797749979,-2.1578910925606816,0.9650382342013949,True,inward,right_middle,0.6802040338516235
195,210,370,180,135.0,48.0,143.27944723511465,19.573125830410195,-4,1,4.123105625617661,-3.4338490934617565,0.8328307361631925,True,inward,right_lower,0.7196192145347595
195,210,260,230,25.0,98.0,101.13851887386922,75.68895873739359,0,-5,5.0,-4.844840575637493,0.9689681151274986,True,inward,right_lower,0.6174446940422058
210,225,290,40,55.0,-92.0,107.18675291284833,-59.12791663691969,-5,5,7.0710678118654755,-6.857190651139657,0.9697532018619697,True,inward,right_upper,0.5782511830329895
240,255,270,170,35.0,38.0,51.66236541235796,47.35329686610831,2,2,2.8284271247461903,2.8260417198217542,0.9991566320010278,True,outward,right_middle,0.7880265712738037
255,270,300,90,65.0,-42.0,77.38862965578342,-32.868678933367505,-8,3,8.54400374531753,-8.34747950536585,0.9769985775042077,True,inward,right_middle,0.8035393953323364
255,270,250,140,15.0,8.0,17.0,28.072486935852957,8,6,10.0,9.882352941176471,0.9882352941176471,True,outward,right_middle,0.6911805272102356
255,270,290,180,55.0,48.0,73.0,41.112090439166934,3,4,5.0,4.890410958904109,0.9780821917808218,True,outward,right_lower,0.5562968850135803
270,285,380,60,145.0,-72.0,161.8919392681427,-26.406775945663863,-2,2,2.8284271247461903,-2.6808005510463553,0.9478061243267555,True,inward,right_upper,0.615749180316925
270,285,390,70,155.0,-62.0,166.94010902116963,-21.80140948635181,-6,2,6.324555320336759,-6.313641498019763,0.9982743731749958,True,inward,right_upper,0.5774765014648438
285,300,240,50,5.0,-82.0,82.15229759416349,-86.5106750942036,-5,-8,9.433981132056603,7.6808563908604475,0.8141691490945376,True,outward,right_upper,0.7879179120063782
285,300,240,90,5.0,-42.0,42.2965719651132,-83.21102542556122,-8,8,11.313708498984761,-8.889609311840449,0.7857378783126824,True,inward,right_middle,0.7316046357154846
285,300,280,110,45.0,-22.0,50.08991914547278,-26.05349531049095,-7,0,7.0,-6.288690526434405,0.8983843609192007,True,inward,right_middle,0.7266011834144592
285,300,330,110,95.0,-22.0,97.51410154434076,-13.03865658302297,-4,-2,4.47213595499958,-3.4456554967818374,0.7704719917849996,True,inward,right_middle,0.6354527473449707
285,300,260,120,25.0,-12.0,27.730849247724095,-25.641005824305285,1,-1,1.4142135623730951,1.3342541250530449,0.9434601396511317,True,outward,right_middle,0.5679126977920532
285,300,330,120,95.0,-12.0,95.75489543621255,-7.199233638367645,-4,-1,4.123105625617661,-3.8431455470090765,0.9320997073494461,True,inward,right_middle,0.6700704097747803
285,300,280,200,45.0,68.0,81.54140052758476,56.504815326258814,-1,-5,5.0990195135927845,-4.721527929481145,0.9259678094768347,True,inward,right_lower,0.7086459398269653
285,300,250,220,15.0,88.0,89.26925562588724,80.32664456759652,1,1,1.4142135623730951,1.1538126903584371,0.8158687775715451,True,outward,right_lower,0.6533685326576233
300,315,230,60,-5.0,-72.0,72.17340230306452,-93.97249594075066,5,-8,9.433981132056603,7.634391374349886,0.8092438671949721,True,outward,left_upper,0.6481792330741882
300,315,300,60,65.0,-72.0,97.0,-47.92497794915637,-1,6,6.082762530298219,-5.123711340206185,0.8423329555748719,True,inward,right_upper,0.7092869877815247
300,315,380,60,145.0,-72.0,161.8919392681427,-26.406775945663863,-5,-1,5.0990195135927845,-4.033554746159608,0.7910451676851014,True,inward,right_upper,0.6705292463302612
300,315,170,70,-65.0,-62.0,89.8276126811795,-136.35319195377969,3,6,6.708203932499369,-6.312090270198138,0.9409508616185367,True,inward,left_upper,0.59477299451828
300,315,320,70,85.0,-62.0,105.20931517693668,-36.10745129175187,8,-4,8.94427190999916,8.82051174308404,0.9861631926935537,True,outward,right_upper,0.6144888401031494
300,315,270,80,35.0,-52.0,62.68173577685928,-56.05641298024819,0,1,1.0,-0.8295877476194151,0.8295877476194151,True,inward,right_upper,0.6854982376098633
300,315,300,90,65.0,-42.0,77.38862965578342,-32.868678933367505,-1,0,1.0,-0.839916668496564,0.839916668496564,True,inward,right_middle,0.8476654887199402
300,315,260,100,25.0,-32.0,40.607881008493905,-52.00126755749534,0,-1,1.0,0.7880243737245634,0.7880243737245634,True,outward,right_middle,0.8801656365394592
300,315,230,110,-5.0,-22.0,22.561028345356956,-102.80426606528675,-3,-8,8.54400374531753,8.465926157098583,0.9908617095045472,True,outward,left_middle,0.7473937273025513
300,315,390,110,155.0,-22.0,156.55350523063993,-8.078344663164005,2,1,2.23606797749979,1.839626647616153,0.8227060474579538,True,outward,right_middle,0.8374814391136169
300,315,230,120,-5.0,-12.0,13.0,-112.61986494804043,-1,-3,3.1622776601683795,3.1538461538461537,0.9973337235915657,True,outward,left_middle,0.7537192702293396
300,315,220,150,-15.0,18.0,23.430749027719962,129.8055710922652,0,1,1.0,0.7682212795973759,0.7682212795973759,True,outward,left_middle,0.6232494115829468
300,315,200,160,-35.0,28.0,44.82186966202994,141.34019174590992,8,-3,8.54400374531753,-8.121035618207516,0.9504953251756452,True,inward,left_middle,0.6970198750495911
300,315,230,170,-5.0,38.0,38.3275357934736,97.49585763972986,-4,8,8.94427190999916,8.4534524146259,0.9451247121831625,True,outward,left_middle,0.8401671051979065
300,315,280,170,45.0,38.0,58.89821729050889,40.17923392190735,-2,-2,2.8284271247461903,-2.8184214673463464,0.9964624659011705,True,inward,right_middle,0.6934459209442139
300,315,360,170,125.0,38.0,130.64838307457157,16.909271810540783,6,1,6.082762530298219,6.031456199119011,0.9915652911117849,True,outward,right_middle,0.7316929697990417
300,315,390,170,155.0,38.0,159.5900999435742,13.775018319674606,-3,-1,3.1622776601683795,-3.1518245817117996,0.996694446351677,True,inward,right_middle,0.6305602192878723
300,315,300,180,65.0,48.0,80.80222769206304,36.44444175658711,-1,0,1.0,-0.8044332669603459,0.8044332669603459,True,inward,right_lower,0.6359270215034485
300,315,270,200,35.0,68.0,76.47875521999558,62.76485330069748,-1,-3,3.1622776601683795,-3.1250508629815252,0.9882278530896391,True,inward,right_lower,0.6648497581481934
300,315,280,200,45.0,68.0,81.54140052758476,56.504815326258814,-1,-5,5.0990195135927845,-4.721527929481145,0.9259678094768347,True,inward,right_lower,0.6836056113243103
300,315,320,210,85.0,78.0,115.36463929644994,42.54095600989538,1,2,2.23606797749979,2.089028331989213,0.9342418714501757,True,outward,right_lower,0.7075077891349792
315,330,230,60,-5.0,-72.0,72.17340230306452,-93.97249594075066,0,-5,5.0,4.9879871048384015,0.9975974209676803,True,outward,left_upper,0.6069288849830627
315,330,240,60,5.0,-72.0,72.17340230306452,-86.02750405924934,-5,-7,8.602325267042627,6.636793953382206,0.7715116259099388,True,outward,right_upper,0.7083327770233154
315,330,250,70,15.0,-62.0,63.788713735268246,-76.39945748334125,1,8,8.06225774829855,-7.540518876054074,0.9352862574562836,True,inward,right_upper,0.5931679010391235
315,330,330,70,95.0,-62.0,113.44161493913951,-33.12973546841209,7,-2,7.280109889280518,6.955119604241283,0.9553591511691655,True,outward,right_upper,0.6182299852371216
315,330,250,80,15.0,-52.0,54.120236510939236,-73.90918365114783,0,7,7.0,-6.7257651382662615,0.9608235911808946,True,inward,right_upper,0.6529935598373413
315,330,310,90,75.0,-42.0,85.95929269136641,-29.248826336546973,-8,5,9.433981132056603,-9.423064972256977,0.9988428893754586,True,inward,right_middle,0.6225095987319946
315,330,230,110,-5.0,-22.0,22.561028345356956,-102.80426606528675,-2,-3,3.605551275463989,3.3686407745523157,0.9342928493282388,True,outward,left_middle,0.7094289064407349
315,330,240,110,5.0,-22.0,22.561028345356956,-77.19573393471325,1,-8,8.06225774829855,8.022683949920646,0.9950914744215099,True,outward,right_middle,0.6694064736366272
315,330,260,110,25.0,-22.0,33.301651610693426,-41.34777721969367,6,-8,10.0,9.78930426067273,0.9789304260672729,True,outward,right_middle,0.7896184325218201
