sector,n_vectors,mean_corr,mean_speed_px,mean_radial_component,median_radial_component,mean_radiality,inward_count,outward_count,radial_aligned_count,tangential_count,neutral_count,undefined_count,inward_fraction,outward_fraction,inward_minus_outward
left_upper,19,0.6884752543349015,5.894689457398606,2.0333055369377284,3.3109141981852988,0.9250309369804385,5,14,19,0,0,0,0.2631578947368421,0.7368421052631579,-0.47368421052631576
left_middle,36,0.6945067677232954,5.283366938815733,0.9913023236011121,2.1856533209526035,0.9502676676437538,15,21,36,0,0,0,0.4166666666666667,0.5833333333333334,-0.16666666666666666
left_lower,6,0.6616755227247874,3.9417421275769526,-3.3644961035086762,-3.399756430856039,0.9299866817987966,5,1,6,0,0,0,0.8333333333333334,0.16666666666666666,0.6666666666666666
right_upper,60,0.656287768483162,6.293300256098229,-0.20864705070208786,-2.048178788561721,0.9002492921331632,35,25,60,0,0,0,0.5833333333333334,0.4166666666666667,0.16666666666666666
right_middle,101,0.6973498186262528,5.776556147755462,0.7704925692224117,-0.839916668496564,0.9145252582075813,51,50,101,0,0,0,0.504950495049505,0.49504950495049505,0.009900990099009901
right_lower,43,0.6473900689635166,4.506450926138408,-1.1413310107006203,-1.9715634320687856,0.9121795712069694,26,17,43,0,0,0,0.6046511627906976,0.3953488372093023,0.20930232558139536
