video_number,r_local_cm,r_global_cm,tau_sec,autocorr,min_lag_sec,max_lag_sec,persistence_threshold
4,90.00000000,90.00000000,0.00000000,1.0000000000,0.10010000,2.00200000,0.10000000
4,90.00000000,90.00000000,0.03336667,0.6305455483,0.10010000,2.00200000,0.10000000
4,90.00000000,90.00000000,0.06673333,0.4625646832,0.10010000,2.00200000,0.10000000
4,90.00000000,90.00000000,0.10010000,0.3860929487,0.10010000,2.00200000,0.10000000
4,90.00000000,90.00000000,0.13346667,0.2744990621,0.10010000,2.00200000,0.10000000
4,90.00000000,90.00000000,0.16683333,0.1868929538,0.10010000,2.00200000,0.10000000
4,90.00000000,90.00000000,0.20020000,0.1098346799,0.10010000,2.00200000,0.10000000
4,90.00000000,90.00000000,0.23356667,0.0659722471,0.10010000,2.00200000,0.10000000
4,90.00000000,90.00000000,0.26693333,0.0254679285,0.10010000,2.00200000,0.10000000
4,90.00000000,90.00000000,0.30030000,-0.0363132763,0.10010000,2.00200000,0.10000000
4,90.00000000,90.00000000,0.33366667,-0.0684258857,0.10010000,2.00200000,0.10000000
4,90.00000000,90.00000000,0.36703333,-0.0853103149,0.10010000,2.00200000,0.10000000
4,90.00000000,90.00000000,0.40040000,-0.0512596485,0.10010000,2.00200000,0.10000000
4,90.00000000,90.00000000,0.43376667,-0.0767061749,0.10010000,2.00200000,0.10000000
4,90.00000000,90.00000000,0.46713333,-0.0389834938,0.10010000,2.00200000,0.10000000
4,90.00000000,90.00000000,0.50050000,-0.0296367153,0.10010000,2.00200000,0.10000000
4,90.00000000,90.00000000,0.53386667,-0.0197458653,0.10010000,2.00200000,0.10000000
4,90.00000000,90.00000000,0.56723333,0.0083790549,0.10010000,2.00200000,0.10000000
4,90.00000000,90.00000000,0.60060000,0.0283454054,0.10010000,2.00200000,0.10000000
4,90.00000000,90.00000000,0.63396667,0.0311472574,0.10010000,2.00200000,0.10000000
4,90.00000000,90.00000000,0.66733333,0.0630965875,0.10010000,2.00200000,0.10000000
4,90.00000000,90.00000000,0.70070000,0.0906771122,0.10010000,2.00200000,0.10000000
4,90.00000000,90.00000000,0.73406667,0.1324825042,0.10010000,2.00200000,0.10000000
4,90.00000000,90.00000000,0.76743333,0.1377605644,0.10010000,2.00200000,0.10000000
4,90.00000000,90.00000000,0.80080000,0.1032293009,0.10010000,2.00200000,0.10000000
4,90.00000000,90.00000000,0.83416667,0.0707407215,0.10010000,2.00200000,0.10000000
4,90.00000000,90.00000000,0.86753333,0.0752992114,0.10010000,2.00200000,0.10000000
4,90.00000000,90.00000000,0.90090000,0.0490811347,0.10010000,2.00200000,0.10000000
4,90.00000000,90.00000000,0.93426667,0.0437733528,0.10010000,2.00200000,0.10000000
4,90.00000000,90.00000000,0.96763333,0.0394532955,0.10010000,2.00200000,0.10000000
4,90.00000000,90.00000000,1.00100000,0.0126785340,0.10010000,2.00200000,0.10000000
4,90.00000000,90.00000000,1.03436667,-0.0080751821,0.10010000,2.00200000,0.10000000
4,90.00000000,90.00000000,1.06773333,-0.0232657341,0.10010000,2.00200000,0.10000000
4,90.00000000,90.00000000,1.10110000,-0.0332470601,0.10010000,2.00200000,0.10000000
4,90.00000000,90.00000000,1.13446667,-0.0262364715,0.10010000,2.00200000,0.10000000
4,90.00000000,90.00000000,1.16783333,-0.0133591445,0.10010000,2.00200000,0.10000000
4,90.00000000,90.00000000,1.20120000,-0.0500360365,0.10010000,2.00200000,0.10000000
4,90.00000000,90.00000000,1.23456667,-0.0261265586,0.10010000,2.00200000,0.10000000
4,90.00000000,90.00000000,1.26793333,-0.0185542555,0.10010000,2.00200000,0.10000000
4,90.00000000,90.00000000,1.30130000,-0.0218233101,0.10010000,2.00200000,0.10000000
4,90.00000000,90.00000000,1.33466667,0.0345283252,0.10010000,2.00200000,0.10000000
4,90.00000000,90.00000000,1.36803333,0.0096565285,0.10010000,2.00200000,0.10000000
4,90.00000000,90.00000000,1.40140000,0.0022081035,0.10010000,2.00200000,0.10000000
4,90.00000000,90.00000000,1.43476667,0.0395046286,0.10010000,2.00200000,0.10000000
4,90.00000000,90.00000000,1.46813333,0.0502358266,0.10010000,2.00200000,0.10000000
4,90.00000000,90.00000000,1.50150000,0.0419082429,0.10010000,2.00200000,0.10000000
4,90.00000000,90.00000000,1.53486667,0.0301191216,0.10010000,2.00200000,0.10000000
4,90.00000000,90.00000000,1.56823333,0.0434913863,0.10010000,2.00200000,0.10000000
4,90.00000000,90.00000000,1.60160000,-0.0112833986,0.10010000,2.00200000,0.10000000
4,90.00000000,90.00000000,1.63496667,-0.0175811134,0.10010000,2.00200000,0.10000000
4,90.00000000,90.00000000,1.66833333,-0.0033589633,0.10010000,2.00200000,0.10000000
4,90.00000000,90.00000000,1.70170000,-0.0227009076,0.10010000,2.00200000,0.10000000
4,90.00000000,90.00000000,1.73506667,-0.0054392001,0.10010000,2.00200000,0.10000000
4,90.00000000,90.00000000,1.76843333,-0.0413197002,0.10010000,2.00200000,0.10000000
4,90.00000000,90.00000000,1.80180000,-0.0650094103,0.10010000,2.00200000,0.10000000
4,90.00000000,90.00000000,1.83516667,0.0001345674,0.10010000,2.00200000,0.10000000
4,90.00000000,90.00000000,1.86853333,-0.0047857583,0.10010000,2.00200000,0.10000000
