video_number,r_local_cm,r_global_cm,tau_sec,autocorr,min_lag_sec,max_lag_sec,persistence_threshold
2,30.00000000,30.00000000,0.00000000,1.0000000000,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,0.03336667,0.8143170779,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,0.06673333,0.7033337980,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,0.10010000,0.5842595580,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,0.13346667,0.4986940746,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,0.16683333,0.4238598099,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,0.20020000,0.3767764937,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,0.23356667,0.3278327340,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,0.26693333,0.3114949307,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,0.30030000,0.2992129063,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,0.33366667,0.2778958807,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,0.36703333,0.2567560676,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,0.40040000,0.2113723681,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,0.43376667,0.1715862995,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,0.46713333,0.1280160793,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,0.50050000,0.1096222381,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,0.53386667,0.0787178385,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,0.56723333,0.0565487421,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,0.60060000,0.0553054446,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,0.63396667,0.0482414152,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,0.66733333,0.0441175700,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,0.70070000,0.0374801644,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,0.73406667,0.0365580919,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,0.76743333,0.0316144336,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,0.80080000,0.0407624546,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,0.83416667,0.0292889538,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,0.86753333,0.0169904659,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,0.90090000,0.0114239304,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,0.93426667,0.0112475256,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,0.96763333,0.0159711094,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,1.00100000,-0.0305733964,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,1.03436667,-0.0630919758,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,1.06773333,-0.0762440357,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,1.10110000,-0.0879731541,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,1.13446667,-0.1095810934,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,1.16783333,-0.1117032164,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,1.20120000,-0.1264410027,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,1.23456667,-0.1334405778,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,1.26793333,-0.1454625434,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,1.30130000,-0.1631389753,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,1.33466667,-0.1871880098,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,1.36803333,-0.2224656714,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,1.40140000,-0.2510030925,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,1.43476667,-0.2691759494,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,1.46813333,-0.2713499914,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,1.50150000,-0.2730058757,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,1.53486667,-0.2866073917,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,1.56823333,-0.2902102997,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,1.60160000,-0.3014316543,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,1.63496667,-0.2999395253,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,1.66833333,-0.2797192117,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,1.70170000,-0.2657899676,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,1.73506667,-0.2584549933,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,1.76843333,-0.2461626373,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,1.80180000,-0.2235024754,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,1.83516667,-0.1941441495,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,1.86853333,-0.1643826967,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,1.90190000,-0.1580972372,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,1.93526667,-0.1502072034,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,1.96863333,-0.1548146886,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,2.00200000,-0.1586747565,0.10010000,2.00200000,0.10000000
