video_number,r_local_cm,r_global_cm,tau_sec,autocorr,min_lag_sec,max_lag_sec,persistence_threshold
2,30.00000000,30.00000000,0.00000000,1.0000000000,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,0.03336667,0.8164015048,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,0.06673333,0.7408553591,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,0.10010000,0.6771290050,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,0.13346667,0.5952477521,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,0.16683333,0.5505898242,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,0.20020000,0.4883910948,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,0.23356667,0.4475900914,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,0.26693333,0.4318254865,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,0.30030000,0.4108853203,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,0.33366667,0.3864732511,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,0.36703333,0.3717578187,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,0.40040000,0.3503572379,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,0.43376667,0.3447633703,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,0.46713333,0.3254461041,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,0.50050000,0.3110240151,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,0.53386667,0.2923628676,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,0.56723333,0.2779776216,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,0.60060000,0.2672380609,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,0.63396667,0.2671078488,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,0.66733333,0.2624839961,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,0.70070000,0.2597019493,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,0.73406667,0.2640001612,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,0.76743333,0.2325155574,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,0.80080000,0.2190525307,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,0.83416667,0.2086245094,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,0.86753333,0.1734827705,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,0.90090000,0.1667779115,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,0.93426667,0.1484189220,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,0.96763333,0.1532348607,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,1.00100000,0.1317956632,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,1.03436667,0.1088440965,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,1.06773333,0.1086758025,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,1.10110000,0.0865390642,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,1.13446667,0.0658515816,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,1.16783333,0.0425508546,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,1.20120000,0.0283566429,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,1.23456667,0.0216645206,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,1.26793333,0.0025788135,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,1.30130000,-0.0029150007,0.10010000,2.00200000,0.10000000
