sector,n_vectors,mean_corr,mean_speed_px,mean_radial_component,median_radial_component,mean_radiality,inward_count,outward_count,radial_aligned_count,tangential_count,neutral_count,undefined_count,inward_fraction,outward_fraction,inward_minus_outward
left_upper,121,0.6425293211109382,5.3752559449692825,0.5140922025661595,1.3705093630949947,0.9107818035803084,54,67,121,0,0,0,0.4462809917355372,0.5537190082644629,-0.10743801652892562
left_middle,140,0.6617332530873162,4.610540737904908,-0.7620505987361272,-1.2606384907693637,0.9045980418800035,83,57,140,0,0,0,0.5928571428571429,0.40714285714285714,0.18571428571428572
left_lower,159,0.6381172972655146,5.5758891097987915,0.23792485871236405,0.8417733058969104,0.9073492979228883,76,83,159,0,0,0,0.4779874213836478,0.5220125786163522,-0.0440251572327044
right_upper,149,0.6736190491074684,5.716278079746874,0.5183755934301494,0.9494893279781242,0.9203616365684408,70,79,149,0,0,0,0.4697986577181208,0.5302013422818792,-0.06040268456375839
right_middle,235,0.6906700646623652,5.301539933959975,-1.5624041046104842,-2.835158051025729,0.9351119920157718,142,93,235,0,0,0,0.6042553191489362,0.39574468085106385,0.20851063829787234
right_lower,193,0.6499549020757329,5.028630369922056,1.1105734482915022,1.7540429018463124,0.904536244094429,79,114,193,0,0,0,0.40932642487046633,0.5906735751295337,-0.18134715025906736
