t0,t1,x,y,rx_from_center,ry_from_center,r_from_center_px,theta_deg,dx,dy,speed_px,radial_component,radiality,radial_aligned,direction_label,sector,corr
0,15,540,80,-14.799999999999955,-217.75,218.2523825757694,-93.8882909927584,0,1,1.0,-0.9976981576565609,0.9976981576565609,True,inward,left_upper,0.9885079264640808
0,15,550,90,-4.7999999999999545,-207.75,207.80544386516922,-91.32356591909029,0,1,1.0,-0.9997331933940807,0.9997331933940807,True,inward,left_upper,0.9887139797210693
0,15,840,90,285.20000000000005,-207.75,352.84430348242836,-36.07094930502791,5,-8,9.433981132056603,8.75173545250046,0.927682102602699,True,outward,right_upper,0.6499145030975342
0,15,550,110,-4.7999999999999545,-187.75,187.8113481661851,-91.46449984586806,0,1,1.0,-0.9996733521867336,0.9996733521867336,True,inward,left_upper,0.9855437278747559
0,15,600,110,45.200000000000045,-187.75,193.11422138206186,-76.46387654506796,2,-2,2.8284271247461903,2.412561833435624,0.8529694162270898,True,outward,right_upper,0.6851060390472412
0,15,990,170,435.20000000000005,-127.75,453.5626775871225,-16.359242648880986,4,0,4.0,3.8380583015797614,0.9595145753949403,True,outward,right_upper,0.6105413436889648
0,15,980,180,425.20000000000005,-117.75,441.20301732875765,-15.478926978891494,4,-1,4.123105625617661,4.121798647276538,0.9996830111911269,True,outward,right_upper,0.7533867359161377
0,15,770,360,215.20000000000005,62.25,224.0225490882559,16.133348148681524,-8,-8,11.313708498984761,-9.907931183862956,0.8757456659548942,True,inward,right_middle,0.7323934435844421
0,15,1000,360,445.20000000000005,62.25,449.53098057864713,7.9597647827904945,7,-2,7.280109889280518,6.655603571857839,0.9142174600493017,True,outward,right_middle,0.6398832201957703
0,15,1010,400,455.20000000000005,102.25,466.54271240691355,12.660015121253961,-3,1,3.1622776601683795,-2.7078978331529906,0.8563124823798063,True,inward,right_middle,0.7938264608383179
0,15,670,450,115.20000000000005,152.25,190.92171825122466,52.887019895772745,0,3,3.0,2.392341762810791,0.7974472542702636,True,outward,right_lower,0.6029043197631836
0,15,170,470,-384.79999999999995,172.25,421.5935275831449,155.8850335751538,-1,1,1.4142135623730951,1.321296375666348,0.9342976271908826,True,outward,left_lower,0.6515329480171204
0,15,130,540,-424.79999999999995,242.25,489.01953181851536,150.30525576714402,-1,0,1.0,0.8686769594259304,0.8686769594259304,True,outward,left_lower,0.7861250042915344
15,30,310,20,-244.79999999999995,-277.75,370.2324978982801,-131.39192470497517,-2,-1,2.23606797749979,2.0726165432695924,0.9269022964082886,True,outward,left_upper,0.840567946434021
15,30,540,20,-14.799999999999955,-277.75,278.14403193309755,-93.05013983670415,0,8,8.0,-7.988666823289818,0.9985833529112272,True,inward,left_upper,0.9166736006736755
15,30,550,20,-4.7999999999999545,-277.75,277.7914730512799,-90.9900715305399,0,8,8.0,-7.998805635008897,0.9998507043761121,True,inward,left_upper,0.9073260426521301
15,30,560,20,5.2000000000000455,-277.75,277.7986726030202,-88.92744104105485,0,8,8.0,-7.998598334468221,0.9998247918085277,True,inward,right_upper,0.917842447757721
15,30,540,30,-14.799999999999955,-267.75,268.1587263170826,-93.16383001636795,0,8,8.0,-7.987806436204525,0.9984758045255656,True,inward,left_upper,0.921521782875061
15,30,550,30,-4.7999999999999545,-267.75,267.79302175374175,-91.02704121410923,0,8,8.0,-7.99871477595764,0.999839346994705,True,inward,left_upper,0.9055878520011902
15,30,560,30,5.2000000000000455,-267.75,267.80049010410715,-88.88739270489401,-1,-8,8.06225774829855,7.979074269689804,0.9896823593085572,True,outward,right_upper,0.9083544611930847
15,30,540,40,-14.799999999999955,-257.75,258.1745581965814,-93.28631399975535,0,8,8.0,-7.986844305665219,0.9983555382081524,True,inward,left_upper,0.9218793511390686
15,30,550,40,-4.7999999999999545,-257.75,257.79469059699426,-91.06687858604278,0,8,8.0,-7.9986131414300035,0.9998266426787504,True,inward,left_upper,0.8920672535896301
15,30,560,40,5.2000000000000455,-257.75,257.8024485919402,-88.84423805360119,-1,-8,8.06225774829855,7.978201957482504,0.9895741622954458,True,outward,right_upper,0.9052407741546631
