sector,n_vectors,mean_corr,mean_speed_px,mean_radial_component,median_radial_component,mean_radiality,inward_count,outward_count,radial_aligned_count,tangential_count,neutral_count,undefined_count,inward_fraction,outward_fraction,inward_minus_outward
left_upper,833,0.852367831807749,6.497603827576616,0.39611140195419975,0.9766932836421856,0.9705448348116096,399,434,833,0,0,0,0.4789915966386555,0.5210084033613446,-0.04201680672268908
left_middle,279,0.681114551627935,5.143343233544121,0.16493557905889644,0.983150305969797,0.9241181258278909,132,147,279,0,0,0,0.4731182795698925,0.5268817204301075,-0.053763440860215055
left_lower,381,0.6954987607602998,5.296254929810991,1.033989243599279,1.350428666720334,0.9149657685337981,158,223,381,0,0,0,0.4146981627296588,0.5853018372703412,-0.17060367454068243
right_upper,721,0.8103858864092464,6.1342233864015006,0.8532146197657245,1.9996495836170554,0.9452176926864576,318,403,721,0,0,0,0.44105409153952846,0.5589459084604715,-0.11789181692094314
right_middle,505,0.7011357156356962,5.163923377886889,-0.7351928929414719,-0.9966156667079145,0.9259373835843956,285,220,505,0,0,0,0.5643564356435643,0.43564356435643564,0.12871287128712872
right_lower,412,0.686550685358279,4.914845192981318,0.5300083875980707,0.9085370022982309,0.9134521339872641,185,227,412,0,0,0,0.44902912621359226,0.5509708737864077,-0.10194174757281553
