video_number,r_local_cm,r_global_cm,tau_sec,autocorr,min_lag_sec,max_lag_sec,persistence_threshold
3,60.00000000,60.00000000,0.00000000,1.0000000000,0.10010000,2.00200000,0.10000000
3,60.00000000,60.00000000,0.03336667,0.9084255734,0.10010000,2.00200000,0.10000000
3,60.00000000,60.00000000,0.06673333,0.8657736799,0.10010000,2.00200000,0.10000000
3,60.00000000,60.00000000,0.10010000,0.8407437896,0.10010000,2.00200000,0.10000000
3,60.00000000,60.00000000,0.13346667,0.7984915251,0.10010000,2.00200000,0.10000000
3,60.00000000,60.00000000,0.16683333,0.7660618274,0.10010000,2.00200000,0.10000000
3,60.00000000,60.00000000,0.20020000,0.7403554849,0.10010000,2.00200000,0.10000000
3,60.00000000,60.00000000,0.23356667,0.7185885240,0.10010000,2.00200000,0.10000000
3,60.00000000,60.00000000,0.26693333,0.6894342417,0.10010000,2.00200000,0.10000000
3,60.00000000,60.00000000,0.30030000,0.6706442153,0.10010000,2.00200000,0.10000000
3,60.00000000,60.00000000,0.33366667,0.6616170061,0.10010000,2.00200000,0.10000000
3,60.00000000,60.00000000,0.36703333,0.6310701309,0.10010000,2.00200000,0.10000000
3,60.00000000,60.00000000,0.40040000,0.6229138152,0.10010000,2.00200000,0.10000000
3,60.00000000,60.00000000,0.43376667,0.6085893929,0.10010000,2.00200000,0.10000000
3,60.00000000,60.00000000,0.46713333,0.5954460815,0.10010000,2.00200000,0.10000000
3,60.00000000,60.00000000,0.50050000,0.5917119859,0.10010000,2.00200000,0.10000000
3,60.00000000,60.00000000,0.53386667,0.5721923714,0.10010000,2.00200000,0.10000000
3,60.00000000,60.00000000,0.56723333,0.5490267061,0.10010000,2.00200000,0.10000000
3,60.00000000,60.00000000,0.60060000,0.5271574103,0.10010000,2.00200000,0.10000000
3,60.00000000,60.00000000,0.63396667,0.5076219981,0.10010000,2.00200000,0.10000000
3,60.00000000,60.00000000,0.66733333,0.4840517506,0.10010000,2.00200000,0.10000000
3,60.00000000,60.00000000,0.70070000,0.4648212094,0.10010000,2.00200000,0.10000000
3,60.00000000,60.00000000,0.73406667,0.4520228039,0.10010000,2.00200000,0.10000000
3,60.00000000,60.00000000,0.76743333,0.4383728557,0.10010000,2.00200000,0.10000000
3,60.00000000,60.00000000,0.80080000,0.4277259079,0.10010000,2.00200000,0.10000000
3,60.00000000,60.00000000,0.83416667,0.4205156609,0.10010000,2.00200000,0.10000000
3,60.00000000,60.00000000,0.86753333,0.4065064173,0.10010000,2.00200000,0.10000000
3,60.00000000,60.00000000,0.90090000,0.4029515377,0.10010000,2.00200000,0.10000000
3,60.00000000,60.00000000,0.93426667,0.3931589553,0.10010000,2.00200000,0.10000000
3,60.00000000,60.00000000,0.96763333,0.3854424526,0.10010000,2.00200000,0.10000000
3,60.00000000,60.00000000,1.00100000,0.3806880053,0.10010000,2.00200000,0.10000000
3,60.00000000,60.00000000,1.03436667,0.3754089493,0.10010000,2.00200000,0.10000000
3,60.00000000,60.00000000,1.06773333,0.3656634484,0.10010000,2.00200000,0.10000000
3,60.00000000,60.00000000,1.10110000,0.3574781238,0.10010000,2.00200000,0.10000000
3,60.00000000,60.00000000,1.13446667,0.3492749060,0.10010000,2.00200000,0.10000000
3,60.00000000,60.00000000,1.16783333,0.3297283619,0.10010000,2.00200000,0.10000000
3,60.00000000,60.00000000,1.20120000,0.3115574351,0.10010000,2.00200000,0.10000000
3,60.00000000,60.00000000,1.23456667,0.3018903385,0.10010000,2.00200000,0.10000000
3,60.00000000,60.00000000,1.26793333,0.2882476323,0.10010000,2.00200000,0.10000000
3,60.00000000,60.00000000,1.30130000,0.2761042102,0.10010000,2.00200000,0.10000000
3,60.00000000,60.00000000,1.33466667,0.2639009352,0.10010000,2.00200000,0.10000000
3,60.00000000,60.00000000,1.36803333,0.2564324964,0.10010000,2.00200000,0.10000000
3,60.00000000,60.00000000,1.40140000,0.2549540967,0.10010000,2.00200000,0.10000000
3,60.00000000,60.00000000,1.43476667,0.2530436222,0.10010000,2.00200000,0.10000000
3,60.00000000,60.00000000,1.46813333,0.2457530892,0.10010000,2.00200000,0.10000000
3,60.00000000,60.00000000,1.50150000,0.2407879942,0.10010000,2.00200000,0.10000000
3,60.00000000,60.00000000,1.53486667,0.2349454497,0.10010000,2.00200000,0.10000000
3,60.00000000,60.00000000,1.56823333,0.2259486373,0.10010000,2.00200000,0.10000000
3,60.00000000,60.00000000,1.60160000,0.2280803257,0.10010000,2.00200000,0.10000000
3,60.00000000,60.00000000,1.63496667,0.2286174401,0.10010000,2.00200000,0.10000000
3,60.00000000,60.00000000,1.66833333,0.2197532261,0.10010000,2.00200000,0.10000000
3,60.00000000,60.00000000,1.70170000,0.2138298711,0.10010000,2.00200000,0.10000000
3,60.00000000,60.00000000,1.73506667,0.1966971616,0.10010000,2.00200000,0.10000000
3,60.00000000,60.00000000,1.76843333,0.1910827587,0.10010000,2.00200000,0.10000000
3,60.00000000,60.00000000,1.80180000,0.1860895135,0.10010000,2.00200000,0.10000000
3,60.00000000,60.00000000,1.83516667,0.1687832475,0.10010000,2.00200000,0.10000000
3,60.00000000,60.00000000,1.86853333,0.1592291606,0.10010000,2.00200000,0.10000000
3,60.00000000,60.00000000,1.90190000,0.1544646984,0.10010000,2.00200000,0.10000000
3,60.00000000,60.00000000,1.93526667,0.1487259236,0.10010000,2.00200000,0.10000000
3,60.00000000,60.00000000,1.96863333,0.1409243608,0.10010000,2.00200000,0.10000000
3,60.00000000,60.00000000,2.00200000,0.1452430669,0.10010000,2.00200000,0.10000000
