run_folder,video_number,r_local_cm,r_global_cm,tau_sec,autocorr,min_lag_sec,max_lag_sec,persistence_threshold,source_csv
run_20260603_135301_video01_target10cm,1,10.0,10.0,0.93426667,0.0191625082,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_135301_video01_target10cm\center_autocorr_curve.csv
run_20260603_135301_video01_target10cm,1,10.0,10.0,0.96763333,0.0226435069,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_135301_video01_target10cm\center_autocorr_curve.csv
run_20260603_135301_video01_target10cm,1,10.0,10.0,1.001,0.0106426187,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_135301_video01_target10cm\center_autocorr_curve.csv
run_20260603_135301_video01_target10cm,1,10.0,10.0,1.03436667,0.0124138485,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_135301_video01_target10cm\center_autocorr_curve.csv
run_20260603_135301_video01_target10cm,1,10.0,10.0,1.06773333,-0.000579052,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_135301_video01_target10cm\center_autocorr_curve.csv
run_20260603_135301_video01_target10cm,1,10.0,10.0,1.1011,0.0117238644,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_135301_video01_target10cm\center_autocorr_curve.csv
run_20260603_135301_video01_target10cm,1,10.0,10.0,1.13446667,0.0336413709,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_135301_video01_target10cm\center_autocorr_curve.csv
run_20260603_135301_video01_target10cm,1,10.0,10.0,1.16783333,0.023006587,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_135301_video01_target10cm\center_autocorr_curve.csv
run_20260603_135301_video01_target10cm,1,10.0,10.0,1.2012,-0.0117439078,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_135301_video01_target10cm\center_autocorr_curve.csv
run_20260603_135301_video01_target10cm,1,10.0,10.0,1.23456667,-0.0301999334,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_135301_video01_target10cm\center_autocorr_curve.csv
run_20260603_135301_video01_target10cm,1,10.0,10.0,1.26793333,-0.065044694,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_135301_video01_target10cm\center_autocorr_curve.csv
run_20260603_135301_video01_target10cm,1,10.0,10.0,1.3013,-0.0528244597,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_135301_video01_target10cm\center_autocorr_curve.csv
run_20260603_135301_video01_target10cm,1,10.0,10.0,1.33466667,-0.0466856661,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_135301_video01_target10cm\center_autocorr_curve.csv
run_20260603_135301_video01_target10cm,1,10.0,10.0,1.36803333,-0.0265403496,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_135301_video01_target10cm\center_autocorr_curve.csv
run_20260603_135301_video01_target10cm,1,10.0,10.0,1.4014,-0.0142254353,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_135301_video01_target10cm\center_autocorr_curve.csv
run_20260603_135301_video01_target10cm,1,10.0,10.0,1.43476667,-0.0220598974,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_135301_video01_target10cm\center_autocorr_curve.csv
run_20260603_135301_video01_target10cm,1,10.0,10.0,1.46813333,0.0073639196,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_135301_video01_target10cm\center_autocorr_curve.csv
run_20260603_135301_video01_target10cm,1,10.0,10.0,1.5015,0.0149799888,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_135301_video01_target10cm\center_autocorr_curve.csv
run_20260603_135301_video01_target10cm,1,10.0,10.0,1.53486667,-0.002588124,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_135301_video01_target10cm\center_autocorr_curve.csv
run_20260603_135301_video01_target10cm,1,10.0,10.0,1.56823333,-0.0196690332,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_135301_video01_target10cm\center_autocorr_curve.csv
run_20260603_135301_video01_target10cm,1,10.0,10.0,1.6016,-0.0214924891,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_135301_video01_target10cm\center_autocorr_curve.csv
run_20260603_135301_video01_target10cm,1,10.0,10.0,1.63496667,-0.0010738971,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_135301_video01_target10cm\center_autocorr_curve.csv
run_20260603_135301_video01_target10cm,1,10.0,10.0,1.66833333,-0.0553904928,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_135301_video01_target10cm\center_autocorr_curve.csv
run_20260603_135301_video01_target10cm,1,10.0,10.0,1.7017,-0.0678347286,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_135301_video01_target10cm\center_autocorr_curve.csv
run_20260603_135301_video01_target10cm,1,10.0,10.0,1.73506667,-0.0625425829,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_135301_video01_target10cm\center_autocorr_curve.csv
run_20260603_135301_video01_target10cm,1,10.0,10.0,1.76843333,-0.0960317309,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_135301_video01_target10cm\center_autocorr_curve.csv
run_20260603_135301_video01_target10cm,1,10.0,10.0,1.8018,-0.1462145887,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_135301_video01_target10cm\center_autocorr_curve.csv
run_20260603_135301_video01_target10cm,1,10.0,10.0,1.83516667,-0.1310952103,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_135301_video01_target10cm\center_autocorr_curve.csv
run_20260603_135301_video01_target10cm,1,10.0,10.0,1.86853333,-0.1543976528,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_135301_video01_target10cm\center_autocorr_curve.csv
