run_folder,video_number,frame_width_cm,segment_start_cm,idx,r_local_cm,r_global_cm,x_center_px,y_center_px,valid,S_peak,S_pos_area,S_signed_area,persistence_duration_sec,last_positive_lag_sec,first_positive_lag_sec,mean_delayed_ac,mean_positive_ac,persistence_threshold,min_lag_sec,max_lag_sec,source_csv
run_20260603_135301_video01_target10cm,1,nan,nan,0,10.0,10.0,1920.0,1080.0,1,0.49360169,0.1070442,0.05551068,0.26693333,0.33366667,0.1001,0.02868374,0.05531238,0.1,0.1001,2.002,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_135301_video01_target10cm\radial_profile_spatial_extension.csv
run_20260603_135415_video02_target30cm,2,nan,nan,0,30.0,30.0,1920.0,1080.0,1,0.58425956,0.14987131,-0.04879307,0.43376667,0.5005,0.1001,-0.02521258,0.0774422,0.1,0.1001,2.002,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_135415_video02_target30cm\radial_profile_spatial_extension.csv
run_20260603_135531_video03_target60cm,3,nan,nan,0,60.0,60.0,1920.0,1080.0,1,0.52968344,0.15010773,0.10827323,0.33366667,0.4004,0.1001,0.05594745,0.07756436,0.1,0.1001,2.002,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_135531_video03_target60cm\radial_profile_spatial_extension.csv
run_20260603_140702_video04_target90cm,4,nan,nan,0,90.0,90.0,1920.0,1080.0,1,0.38609295,0.07699234,0.05034626,0.23356667,0.8008,0.1001,0.02601516,0.03978384,0.1,0.1001,2.002,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_140702_video04_target90cm\radial_profile_spatial_extension.csv
