run_folder,video_number,r_local_cm,r_global_cm,tau_sec,autocorr,min_lag_sec,max_lag_sec,persistence_threshold,source_csv
run_20260603_125818_video01_target10cm,1,10.0,10.0,0.83416667,0.1654910311,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_125818_video01_target10cm\center_autocorr_curve.csv
run_20260603_125818_video01_target10cm,1,10.0,10.0,0.86753333,0.156710126,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_125818_video01_target10cm\center_autocorr_curve.csv
run_20260603_125818_video01_target10cm,1,10.0,10.0,0.9009,0.1748531242,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_125818_video01_target10cm\center_autocorr_curve.csv
run_20260603_125818_video01_target10cm,1,10.0,10.0,0.93426667,0.1860159696,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_125818_video01_target10cm\center_autocorr_curve.csv
run_20260603_125818_video01_target10cm,1,10.0,10.0,0.96763333,0.1764789349,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_125818_video01_target10cm\center_autocorr_curve.csv
run_20260603_125818_video01_target10cm,1,10.0,10.0,1.001,0.1757095254,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_125818_video01_target10cm\center_autocorr_curve.csv
run_20260603_125818_video01_target10cm,1,10.0,10.0,1.03436667,0.1929243663,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_125818_video01_target10cm\center_autocorr_curve.csv
run_20260603_125818_video01_target10cm,1,10.0,10.0,1.06773333,0.1938043851,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_125818_video01_target10cm\center_autocorr_curve.csv
run_20260603_125818_video01_target10cm,1,10.0,10.0,1.1011,0.2031172959,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_125818_video01_target10cm\center_autocorr_curve.csv
run_20260603_125818_video01_target10cm,1,10.0,10.0,1.13446667,0.2078444509,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_125818_video01_target10cm\center_autocorr_curve.csv
run_20260603_125818_video01_target10cm,1,10.0,10.0,1.16783333,0.1956564989,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_125818_video01_target10cm\center_autocorr_curve.csv
run_20260603_125818_video01_target10cm,1,10.0,10.0,1.2012,0.1864096963,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_125818_video01_target10cm\center_autocorr_curve.csv
run_20260603_125818_video01_target10cm,1,10.0,10.0,1.23456667,0.1862087147,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_125818_video01_target10cm\center_autocorr_curve.csv
run_20260603_125818_video01_target10cm,1,10.0,10.0,1.26793333,0.1844097193,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_125818_video01_target10cm\center_autocorr_curve.csv
run_20260603_125818_video01_target10cm,1,10.0,10.0,1.3013,0.1837373946,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_125818_video01_target10cm\center_autocorr_curve.csv
run_20260603_125818_video01_target10cm,1,10.0,10.0,1.33466667,0.1802659797,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_125818_video01_target10cm\center_autocorr_curve.csv
run_20260603_125818_video01_target10cm,1,10.0,10.0,1.36803333,0.1676790096,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_125818_video01_target10cm\center_autocorr_curve.csv
run_20260603_125818_video01_target10cm,1,10.0,10.0,1.4014,0.1576709695,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_125818_video01_target10cm\center_autocorr_curve.csv
run_20260603_125818_video01_target10cm,1,10.0,10.0,1.43476667,0.1232984708,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_125818_video01_target10cm\center_autocorr_curve.csv
run_20260603_125818_video01_target10cm,1,10.0,10.0,1.46813333,0.1278604733,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_125818_video01_target10cm\center_autocorr_curve.csv
run_20260603_125818_video01_target10cm,1,10.0,10.0,1.5015,0.1035295108,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_125818_video01_target10cm\center_autocorr_curve.csv
run_20260603_125818_video01_target10cm,1,10.0,10.0,1.53486667,0.0884278303,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_125818_video01_target10cm\center_autocorr_curve.csv
