video_number,r_local_cm,r_global_cm,tau_sec,autocorr,min_lag_sec,max_lag_sec,persistence_threshold
4,90.00000000,90.00000000,0.00000000,1.0000000000,0.10010000,2.00200000,0.10000000
4,90.00000000,90.00000000,0.03336667,0.7971573036,0.10010000,2.00200000,0.10000000
4,90.00000000,90.00000000,0.06673333,0.7191194338,0.10010000,2.00200000,0.10000000
4,90.00000000,90.00000000,0.10010000,0.6623457376,0.10010000,2.00200000,0.10000000
4,90.00000000,90.00000000,0.13346667,0.6269460081,0.10010000,2.00200000,0.10000000
4,90.00000000,90.00000000,0.16683333,0.5808499247,0.10010000,2.00200000,0.10000000
4,90.00000000,90.00000000,0.20020000,0.5616284469,0.10010000,2.00200000,0.10000000
4,90.00000000,90.00000000,0.23356667,0.5343429644,0.10010000,2.00200000,0.10000000
4,90.00000000,90.00000000,0.26693333,0.5078847701,0.10010000,2.00200000,0.10000000
4,90.00000000,90.00000000,0.30030000,0.4897137906,0.10010000,2.00200000,0.10000000
4,90.00000000,90.00000000,0.33366667,0.4389594749,0.10010000,2.00200000,0.10000000
4,90.00000000,90.00000000,0.36703333,0.3993604811,0.10010000,2.00200000,0.10000000
4,90.00000000,90.00000000,0.40040000,0.3587576462,0.10010000,2.00200000,0.10000000
4,90.00000000,90.00000000,0.43376667,0.3304028847,0.10010000,2.00200000,0.10000000
4,90.00000000,90.00000000,0.46713333,0.3012357152,0.10010000,2.00200000,0.10000000
4,90.00000000,90.00000000,0.50050000,0.2694525765,0.10010000,2.00200000,0.10000000
4,90.00000000,90.00000000,0.53386667,0.2459396818,0.10010000,2.00200000,0.10000000
4,90.00000000,90.00000000,0.56723333,0.2271146487,0.10010000,2.00200000,0.10000000
4,90.00000000,90.00000000,0.60060000,0.2282997018,0.10010000,2.00200000,0.10000000
4,90.00000000,90.00000000,0.63396667,0.2318662176,0.10010000,2.00200000,0.10000000
4,90.00000000,90.00000000,0.66733333,0.2101790253,0.10010000,2.00200000,0.10000000
4,90.00000000,90.00000000,0.70070000,0.1823549772,0.10010000,2.00200000,0.10000000
4,90.00000000,90.00000000,0.73406667,0.1738573162,0.10010000,2.00200000,0.10000000
4,90.00000000,90.00000000,0.76743333,0.1660920502,0.10010000,2.00200000,0.10000000
4,90.00000000,90.00000000,0.80080000,0.1325458643,0.10010000,2.00200000,0.10000000
4,90.00000000,90.00000000,0.83416667,0.1202125031,0.10010000,2.00200000,0.10000000
4,90.00000000,90.00000000,0.86753333,0.1203109594,0.10010000,2.00200000,0.10000000
4,90.00000000,90.00000000,0.90090000,0.0860859377,0.10010000,2.00200000,0.10000000
4,90.00000000,90.00000000,0.93426667,0.0662929337,0.10010000,2.00200000,0.10000000
4,90.00000000,90.00000000,0.96763333,0.0758596612,0.10010000,2.00200000,0.10000000
4,90.00000000,90.00000000,1.00100000,0.0178442611,0.10010000,2.00200000,0.10000000
4,90.00000000,90.00000000,1.03436667,-0.0050913884,0.10010000,2.00200000,0.10000000
4,90.00000000,90.00000000,1.06773333,-0.0063837970,0.10010000,2.00200000,0.10000000
4,90.00000000,90.00000000,1.10110000,0.0024377575,0.10010000,2.00200000,0.10000000
4,90.00000000,90.00000000,1.13446667,-0.0206868067,0.10010000,2.00200000,0.10000000
4,90.00000000,90.00000000,1.16783333,-0.0376735785,0.10010000,2.00200000,0.10000000
4,90.00000000,90.00000000,1.20120000,-0.0597972382,0.10010000,2.00200000,0.10000000
4,90.00000000,90.00000000,1.23456667,-0.0646975706,0.10010000,2.00200000,0.10000000
4,90.00000000,90.00000000,1.26793333,-0.0593577210,0.10010000,2.00200000,0.10000000
4,90.00000000,90.00000000,1.30130000,-0.0763508130,0.10010000,2.00200000,0.10000000
4,90.00000000,90.00000000,1.33466667,-0.0706673904,0.10010000,2.00200000,0.10000000
4,90.00000000,90.00000000,1.36803333,-0.0565658773,0.10010000,2.00200000,0.10000000
4,90.00000000,90.00000000,1.40140000,-0.0912014164,0.10010000,2.00200000,0.10000000
4,90.00000000,90.00000000,1.43476667,-0.0914135416,0.10010000,2.00200000,0.10000000
4,90.00000000,90.00000000,1.46813333,-0.1056802404,0.10010000,2.00200000,0.10000000
4,90.00000000,90.00000000,1.50150000,-0.0922436827,0.10010000,2.00200000,0.10000000
4,90.00000000,90.00000000,1.53486667,-0.1077626905,0.10010000,2.00200000,0.10000000
4,90.00000000,90.00000000,1.56823333,-0.1014493792,0.10010000,2.00200000,0.10000000
4,90.00000000,90.00000000,1.60160000,-0.1106509928,0.10010000,2.00200000,0.10000000
4,90.00000000,90.00000000,1.63496667,-0.0928400514,0.10010000,2.00200000,0.10000000
4,90.00000000,90.00000000,1.66833333,-0.1206444969,0.10010000,2.00200000,0.10000000
4,90.00000000,90.00000000,1.70170000,-0.1050082202,0.10010000,2.00200000,0.10000000
4,90.00000000,90.00000000,1.73506667,-0.0874633689,0.10010000,2.00200000,0.10000000
4,90.00000000,90.00000000,1.76843333,-0.0843804495,0.10010000,2.00200000,0.10000000
4,90.00000000,90.00000000,1.80180000,-0.0712414242,0.10010000,2.00200000,0.10000000
4,90.00000000,90.00000000,1.83516667,-0.0565056509,0.10010000,2.00200000,0.10000000
4,90.00000000,90.00000000,1.86853333,-0.0550869682,0.10010000,2.00200000,0.10000000
4,90.00000000,90.00000000,1.90190000,-0.0560989893,0.10010000,2.00200000,0.10000000
4,90.00000000,90.00000000,1.93526667,-0.0402299556,0.10010000,2.00200000,0.10000000
